white_id,white_rating,black_id,black_rating,elo_diff,winner,victory_status,turns,moves
louwyhs,1085,lordofking,2171,-1086,black,mate,38,e4 c5 Nf3 e6 Nc3 Nc6 d3 a6 Be3 b5 a3 Bb7 Be2 Nf6 h3 d5 e5 Nd7 O-O Ncxe5 Nxe5 Nxe5 Bf3 Nxf3+ Qxf3 Bd6 Qh5 O-O f4 d4 Ne4 dxe3 Nxd6 Qxd6 Qe5 Qc6 f5 Qxg2#
hus1972,1074,dunker62,2151,-1077,black,mate,28,e3 e5 Be2 d5 Nf3 e4 Ne5 Qg5 Rg1 Qxe5 Na3 Qxh2 Rf1 Bxa3 bxa3 Qxg2 a4 Nc6 c3 Bh3 Qc2 Qh2 Kd1 Bxf1 Bb2 Qxf2 Bxf1 Qxf1#
hash_13-chess,1128,powodzenia,2177,-1049,black,mate,130,g3 g6 Bg2 Bg7 Nf3 Nf6 Nc3 O-O O-O d5 d4 Bf5 h3 Na6 g4 Bc8 g5 Nh5 e4 dxe4 Nxe4 c6 c4 Bf5 Ng3 Nxg3 fxg3 Be4 Re1 Bxf3 Bxf3 Qxd4+ Qxd4 Bxd4+ Kf1 e6 Be3 Bxe3 Rxe3 Rfd8 h4 Rd2 b3 Nb4 Re2 Rxe2 Bxe2 Rd8 Rd1 Rxd1+ Bxd1 Nxa2 h5 Nc3 Ke1 Nxd1 Kxd1 Kf8 hxg6 hxg6 Ke2 Ke7 Kf3 Kd6 Ke4 c5 Kf4 a6 Ke4 b5 cxb5 axb5 Kd3 Ke5 Kc3 Kf5 Kd3 Kxg5 Ke4 f5+ Ke5 Kg4 Kxe6 c4 bxc4 bxc4 Kf6 c3 Kxg6 c2 Kf6 c1=Q Kg6 Qg1 Kf6 Qxg3 Kg6 Qe3 Kf6 f4 Kg6 Qe5 Kf7 Qd6 Kg7 Qe6 Kh7 Kg5 Kg7 Qf6+ Kh7 Qg6+ Kh8 Qf6+ Kh7 Qf7+ Kh8 Qa7 Kg8 Kg6 Kf8 Qd7 Kg8 f3 Kf8 f2 Kg8 f1=R Kh8 Rf8#
hash_13-chess,1128,powodzenia,2177,-1049,black,mate,130,g3 g6 Bg2 Bg7 Nf3 Nf6 Nc3 O-O O-O d5 d4 Bf5 h3 Na6 g4 Bc8 g5 Nh5 e4 dxe4 Nxe4 c6 c4 Bf5 Ng3 Nxg3 fxg3 Be4 Re1 Bxf3 Bxf3 Qxd4+ Qxd4 Bxd4+ Kf1 e6 Be3 Bxe3 Rxe3 Rfd8 h4 Rd2 b3 Nb4 Re2 Rxe2 Bxe2 Rd8 Rd1 Rxd1+ Bxd1 Nxa2 h5 Nc3 Ke1 Nxd1 Kxd1 Kf8 hxg6 hxg6 Ke2 Ke7 Kf3 Kd6 Ke4 c5 Kf4 a6 Ke4 b5 cxb5 axb5 Kd3 Ke5 Kc3 Kf5 Kd3 Kxg5 Ke4 f5+ Ke5 Kg4 Kxe6 c4 bxc4 bxc4 Kf6 c3 Kxg6 c2 Kf6 c1=Q Kg6 Qg1 Kf6 Qxg3 Kg6 Qe3 Kf6 f4 Kg6 Qe5 Kf7 Qd6 Kg7 Qe6 Kh7 Kg5 Kg7 Qf6+ Kh7 Qg6+ Kh8 Qf6+ Kh7 Qf7+ Kh8 Qa7 Kg8 Kg6 Kf8 Qd7 Kg8 f3 Kf8 f2 Kg8 f1=R Kh8 Rf8#
toni90,1081,rps_1899,2126,-1045,white,resign,3,e4 e5 Nf3
dimcenco,978,lichessfiend,2005,-1027,black,mate,54,e4 c5 Nc3 Nc6 d4 cxd4 Nce2 e5 Nf3 Bb4+ Bd2 Qa5 c3 dxc3 bxc3 Bc5 c4 Qb6 Rb1 Qc7 Bc3 d6 Rb5 a6 Ba5 Nxa5 Rb1 Nf6 Nc3 O-O Be2 Be6 O-O Bxc4 Na4 b5 Nxc5 dxc5 Rc1 Bxe2 Qxe2 Nc4 Rxc4 bxc4 Qxc4 Rfd8 Qc2 Qd6 Rd1 Qxd1+ Qxd1 Rxd1+ Ne1 Rxe1#
hurameshi,1305,yht,2318,-1013,black,mate,90,d4 d5 c4 c6 Nf3 Nf6 Bg5 h6 Bh4 dxc4 e3 Bf5 Bxc4 Qb6 Qe2 Nbd7 Nc3 g5 Bg3 O-O-O O-O e6 Rac1 Ne4 Na4 Qa5 b3 Nxg3 fxg3 Ba3 Rc3 Kb8 Ne5 Nxe5 dxe5 b5 Bxb5 cxb5 Rc6 bxa4 bxa4 Bd3 Rb1+ Bxb1 h3 Qd5 Rd6 Bxd6 Qb2+ Qb7 Qxb7+ Kxb7 exd6 Rxd6 g4 Rd2 Kh2 Rc8 Kg3 Rcc2 Kf3 Rxg2 Ke4 f5+ gxf5 exf5+ Kxf5 Rg3 e4 Rxh3 e5 Re2+ Kf6 Rhe3 a5 Rxe5 a6+ Kxa6 a4 Re6+ Kg7 Rg6+ Kf7 Rb2 Ke7 Rb7+ Kf8 Rc6 Ke8 Rc8#
bischopscup,1212,fakemagnuscarlsen,2215,-1003,black,mate,52,d4 Nf6 c4 e6 Nc3 Bb4 Bd2 c5 d5 O-O dxe6 dxe6 e4 Bxc3 Bxc3 Nxe4 Bd3 Nxc3 bxc3 Nc6 Ne2 Ne5 Bc2 b6 O-O Bb7 f4 Nxc4 Bb3 Ne3 Qxd8 Raxd8 Rf3 Bxf3 gxf3 Rd2 Ng3 c4 Ba4 Rfd8 Nf1 Nxf1 Rxf1 Rxa2 Bc6 Rdd2 f5 Rg2+ Kh1 Rxh2+ Kg1 Rag2#
suziernesti,1151,siindbad,2135,-984,black,mate,38,h4 d5 a4 e5 e4 dxe4 Qe2 Nc6 c4 Nf6 c5 Nd4 Qxe4 Nxe4 Nc3 Nxc3 bxc3 Nc2+ Ke2 Nxa1 c4 Qd4 Nf3 Qe4+ Kd1 Qc2+ Ke1 Qxc1+ Ke2 Bg4 g3 O-O-O Ke3 Qd1 Be2 Nc2+ Ke4 Qxe2#
schoonied,1319,chesswithmom,2296,-977,black,mate,44,e4 e5 c3 Qf6 Qg4 Bc5 f3 h5 Qg3 h4 Qf2 Bxf2+ Kd1 Qd6 Bc4 Be3 Bxf7+ Kxf7 b3 Nc6 Ke1 Bf4 a3 Qd3 Kd1 Qf1+ Kc2 Qxg2 a4 Qxh1 b4 Qxg1 Kb3 Qxc1 Kc4 Qf1+ Kb3 Qd1+ Kc4 d6 Ra3 Be6+ Kb5 a6#
schoonied,1319,chesswithmom,2296,-977,black,mate,42,e4 e5 d3 Bc5 c4 Qf6 Ne2 Qxf2+ Kd2 Bb4+ Kc2 a5 Kb3 Qc5 Bg5 Nc6 a4 Nd4+ Ka2 f6 Nbc3 b5 Qb3 bxa4 Nxd4 exd4 Qxa4 dxc3 Kb3 Bb7 Bf4 Bc6 Bxc7 Bxa4+ Ka2 Qxc7 g4 Qf4 Rd1 Qf2 Bh3 Qxb2#
schoonied,1319,chesswithmom,2296,-977,black,mate,42,e4 e5 d3 Bc5 c4 Qf6 Ne2 Qxf2+ Kd2 Bb4+ Kc2 a5 Kb3 Qc5 Bg5 Nc6 a4 Nd4+ Ka2 f6 Nbc3 b5 Qb3 bxa4 Nxd4 exd4 Qxa4 dxc3 Kb3 Bb7 Bf4 Bc6 Bxc7 Bxa4+ Ka2 Qxc7 g4 Qf4 Rd1 Qf2 Bh3 Qxb2#
schoonied,1319,chesswithmom,2296,-977,black,mate,44,e4 e5 c3 Qf6 Qg4 Bc5 f3 h5 Qg3 h4 Qf2 Bxf2+ Kd1 Qd6 Bc4 Be3 Bxf7+ Kxf7 b3 Nc6 Ke1 Bf4 a3 Qd3 Kd1 Qf1+ Kc2 Qxg2 a4 Qxh1 b4 Qxg1 Kb3 Qxc1 Kc4 Qf1+ Kb3 Qd1+ Kc4 d6 Ra3 Be6+ Kb5 a6#
schoonied,1319,chesswithmom,2294,-975,black,mate,48,d4 d5 e3 e6 Bb5+ c6 Bd3 Qa5+ c3 Nf6 Qb3 Ne4 Nf3 Qd8 O-O Qf6 Qd1 Bd6 a4 e5 dxe5 Bxe5 Nxe5 Qxe5 Qf3 Bf5 Bxe4 dxe4 Qxf5 Qxf5 f4 Nd7 c4 Nf6 Bd2 O-O-O Ba5 b6 Bc3 Rd3 Be1 Rxe3 Bf2 Re2 Bg3 Qc5+ Rf2 Re1#
schoonied,1319,chesswithmom,2294,-975,black,mate,32,d4 Nf6 e3 e6 Nc3 Bb4 Bd2 c5 Nb5 Bxd2+ Qxd2 cxd4 exd4 O-O O-O-O d5 Be2 a6 Nc3 Nc6 Nf3 Ne4 Qe3 Qa5 Rhe1 Nxc3 Rd2 Nxa2+ Kd1 Nc3+ Kc1 Qa1#
schoonied,1319,chesswithmom,2294,-975,black,mate,32,Nf3 Nf6 d4 d5 c3 Nc6 e3 Bg4 Bb5 a6 Bxc6+ bxc6 O-O Ne4 Nbd2 h5 Qe1 h4 b4 h3 g3 e6 Ne5 Qf6 Nxg4 Qf5 Qe2 Nxd2 Bxd2 Qe4 Rae1 Qg2#
schoonied,1319,chesswithmom,2294,-975,black,mate,32,Nf3 Nf6 d4 d5 c3 Nc6 e3 Bg4 Bb5 a6 Bxc6+ bxc6 O-O Ne4 Nbd2 h5 Qe1 h4 b4 h3 g3 e6 Ne5 Qf6 Nxg4 Qf5 Qe2 Nxd2 Bxd2 Qe4 Rae1 Qg2#
schoonied,1319,chesswithmom,2294,-975,black,mate,48,d4 d5 e3 e6 Bb5+ c6 Bd3 Qa5+ c3 Nf6 Qb3 Ne4 Nf3 Qd8 O-O Qf6 Qd1 Bd6 a4 e5 dxe5 Bxe5 Nxe5 Qxe5 Qf3 Bf5 Bxe4 dxe4 Qxf5 Qxf5 f4 Nd7 c4 Nf6 Bd2 O-O-O Ba5 b6 Bc3 Rd3 Be1 Rxe3 Bf2 Re2 Bg3 Qc5+ Rf2 Re1#
schoonied,1319,chesswithmom,2294,-975,black,mate,32,d4 Nf6 e3 e6 Nc3 Bb4 Bd2 c5 Nb5 Bxd2+ Qxd2 cxd4 exd4 O-O O-O-O d5 Be2 a6 Nc3 Nc6 Nf3 Ne4 Qe3 Qa5 Rhe1 Nxc3 Rd2 Nxa2+ Kd1 Nc3+ Kc1 Qa1#
rodrigo-sagastegui,1293,chesscarl,2263,-970,black,resign,30,e4 Nf6 h3 Nxe4 Qf3 Nf6 g4 e6 g5 Nd5 h4 Nc6 c3 Bd6 Qd1 O-O d3 b6 c4 Nde7 h5 Bb7 g6 Nd4 gxf7+ Rxf7 Rh4 Bf3 Nxf3 Nxf3+
mosi64,1301,aqwert,2266,-965,black,mate,80,e4 d5 Nc3 d4 Nd5 e6 Nf4 Qf6 d3 Bb4+ Bd2 Bxd2+ Qxd2 Nc6 c4 e5 Nd5 Qd6 Nf3 Nge7 Nh4 Nxd5 cxd5 Ne7 Nf5 Nxf5 exf5 O-O g4 Qxd5 Rg1 f6 h4 e4 Bg2 Qe5 h5 exd3+ Kd1 h6 Qxd3 Re8 Kd2 Qf4+ Kc2 Qxf2+ Qd2 Re2 Rad1 Rxd2+ Rxd2 Qxg1 Bd5+ Kh7 Rg2 Qe3 g5 hxg5 h6 gxh6 Bc4 Bxf5+ Kd1 Qf3+ Re2 Bg4 Kd2 d3 Bxd3+ f5 Re7+ Kg6 Rxc7 Qf4+ Kc3 Qxc7+ Kd4 Rd8+ Ke3 Qf4#
casparow,1305,doraemon61,2264,-959,black,resign,37,e4 e5 Nf3 Nc6 Bc4 Nf6 d3 Be7 Nc3 d6 Ng5 O-O O-O Bg4 f3 Bd7 Nd5 Nxd5 Bxd5 Bxg5 Bxg5 Qxg5 Qe1 a5 f4 exf4 h4 Qf6 g3 Nd4 Rxf4 Qxf4 gxf4 Nf3+ Kf1 Nxe1 Rd1
marigw,986,kang-heri,1944,-958,black,mate,42,d4 d5 c3 c6 b4 Nf6 a4 a5 bxa5 Qxa5 Na3 e6 Nb5 cxb5 Bg5 Qxc3+ Qd2 Qxa1+ Qd1 Qxd1+ Kxd1 bxa4 e3 a3 Bb5+ Bd7 Ba4 Rxa4 Ke2 a2 Nf3 Bb5+ Kd2 Bb4+ Kc2 Bc4 Kb2 Nc6 Ka1 Bd3 Nd2 Bc3#
mrunobservant,1000,kilgour22,1951,-951,black,mate,46,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 d6 f4 Nf6 Bd3 Nxd4 e5 Nd7 Be3 dxe5 c3 Nc6 Qb3 exf4 Bxf4 Qe7+ Be2 Nf6 Nd2 Bg4 Nf3 Bxf3 gxf3 O-O-O a4 Re8 Qd1 Nd5 Bd2 Ne3 Qc1 Ng2+ Kf2 Qxe2+ Kg3 h5 Rg1 h4+ Kh3 Qxf3#
noobdude,1670,lance5500,2621,-951,black,resign,74,e4 c5 Nf3 d6 d4 Nf6 Nc3 cxd4 Nxd4 Nc6 Bb5 Bd7 Bg5 Rc8 O-O e6 Be2 Be7 a3 a6 Re1 O-O Qd2 Qc7 h3 Rfd8 Nf3 b5 Bd3 Ne5 Nxe5 dxe5 Qe2 Bc6 Be3 Nd7 Rf1 Bc5 Rac1 Qb6 b4 Bd4 Bxd4 Qxd4 Qe1 Bb7 Ne2 Qa7 Ng3 Nf8 Nh1 Ng6 g3 Qd4 Qe2 Qc3 Ra1 Ne7 Kg2 Nc6 Rfc1 Nd4 Qe1 Qxe1 Rxe1 Nxc2 Bxc2 Rxc2 h4 Rd4 Kg1 Bxe4 Rf1 Rdd2
noobdude,1670,lance5500,2621,-951,black,resign,86,e4 c5 Nf3 d6 d4 Nf6 Nc3 cxd4 Nxd4 Nc6 Bb5 Bd7 O-O e6 Bg5 Be7 Re1 Rc8 Bf1 a6 Nf3 O-O a3 Qc7 Qd3 Rfd8 h3 Ne5 Nxe5 dxe5 Qe2 Bc6 Be3 Nxe4 Nxe4 Bxe4 Bb6 Qxb6 Qxe4 Rd2 Re2 Rxe2 Qxe2 Qxb2 Re1 Rxc2 Qxe5 Qxe5 Rxe5 Bc5 Re2 Rxe2 Bxe2 Bxa3 Kf1 Kf8 Ke1 Ke7 Kd2 Kd6 Kc3 b5 Bd3 Kc5 Bxh7 e5 g4 f6 f3 a5 Be4 a4 h4 b4+ Kc2 b3+ Kc3 Bb4+ Kb2 Kc4 Bf5 a3+ Kc1 a2 Be6+ Kc3
pietaritamminen,1416,yellowdragoon,2361,-945,black,mate,42,e4 e5 f4 d5 Nc3 exf4 Nf3 dxe4 Nxe4 Bf5 Ke2 Bxe4 d3 Bxf3+ Kxf3 Qd5+ Kxf4 Bd6+ Ke3 Nf6 Qf3 Qxf3+ Kxf3 O-O Bg5 Nbd7 Bxf6 Nxf6 g3 Rfe8 Bg2 Re7 Rhe1 Rae8 Rxe7 Rxe7 Kf2 Ng4+ Kg1 Bc5+ Kf1 Nxh2#
ranchowangdu,1500,nobodyreally,2445,-945,white,resign,124,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 f3 Nc6 c4 g6 Nc3 Nxd4 Qxd4 Bg7 Be3 O-O Qd2 Bd7 Be2 a6 Rc1 Qa5 O-O Rfe8 Rfd1 b5 c5 b4 Nd5 Nxd5 exd5 dxc5 Rxc5 Qxa2 Bd4 Bxd4+ Qxd4 Bf5 Bc4 b3 Qc3 Bc2 Re1 Qa4 Rc7 Rac8 d6 Rxc7 dxc7 e6 Bxb3 Bxb3 c8=Q Rxc8 Qxc8+ Kg7 Qc3+ Kg8 Re4 Qa1+ Kf2 Ba4 Rb4 Bb5 Rd4 Qf1+ Kg3 Be8 Rd8 Qb5 Qf6 Kf8 h4 h5 b4 Qc6 f4 Qa4 Kh2 Qb5 Rc8 Qd7 Ra8 Qc6 Qd8 Qb5 Rb8 Qc6 Rc8 Qb5 Rb8 Qc6 Rc8 Qb5 Kg3 Qa4 Rb8 Qc6 Kh2 Qa4 Qc8 Ke7 Qc5+ Kf6 Qe5+ Ke7 Rb7+ Bd7 Qc7 Qd1 Rb8 Qe1 Qd8+ Kd6 Rb6+ Kd5 Qxd7+ Ke4 Qc6+ Kd4 Qc5+ Ke4
element4life,1190,ezevereth,2133,-943,black,resign,40,e4 e5 Nf3 Nc6 Nc3 d6 Bc4 Be6 d3 Bxc4 dxc4 Nf6 Bg5 Be7 O-O O-O Re1 Nd7 Qd5 Bxg5 Nxg5 Qxg5 Rad1 Nb6 Qb5 Nd4 Rc1 c6 Qb4 c5 Qa3 Nxc4 Qa4 Nxb2 Qd7 Rfd8 Qf5 Nxf5 exf5 Qxf5
chicago_chess,1366,pavvell,2301,-935,black,resign,94,e4 c5 Nf3 e6 Nc3 a6 d4 cxd4 Nxd4 Qc7 g3 Bb4 Bd2 Nc6 Nde2 Nf6 Bg2 O-O Bf4 Qa5 O-O Be7 e5 Nxe5 Bxe5 Qxe5 Qd4 Qxd4 Nxd4 d5 Rfe1 Bb4 a3 Bxc3 bxc3 Bd7 c4 Rac8 cxd5 exd5 f4 Rfe8 Rxe8+ Rxe8 Rb1 b5 h4 Re3 Kf2 Ng4+ Kg1 Rxg3 Ne2 Rxa3 Bxd5 Ne3 Nd4 Nxd5 c4 Nc3 Rb2 g6 Nc2 Ra2 Rxa2 Nxa2 Nb4 Nxb4 cxb5 axb5 Kf1 Nd3 Ke2 Nxf4+ Ke3 Ng2+ Kd4 Nxh4 Kc5 f5 Kd4 f4 Ke4 f3 Ke3 b4 Kd3 b3 Kc3 f2 Kxb3 f1=Q Kc2 Qc4+
nullvalue,1299,youralterego,2221,-922,black,resign,44,e4 e5 Nf3 Nc6 Bb5 Nf6 d3 a6 Bxc6 dxc6 O-O Bd6 b3 O-O Bb2 Re8 Nbd2 Qe7 c4 c5 a4 a5 h4 Nh5 g3 Bg4 Qe2 Rad8 Bc3 b6 Qe3 h6 d4 exd4 Bxd4 cxd4 Qxd4 Bc5 Qc3 Nxg3 Rfd1 Ne2+ Kg2 Nxc3
mehmetali_t,1541,michelangeio,2460,-919,black,resign,49,e4 c6 d4 d5 exd5 cxd5 Nf3 Nc6 Nc3 Bg4 Be2 e6 Bf4 Nf6 a3 Bd6 Be3 O-O Qd2 Rc8 h3 Bh5 g4 Bg6 O-O-O Qa5 Rdg1 Bxa3 bxa3 Qxa3+ Kd1 Nb4 Nb1 Qb2 Qc1 Bxc2+ Ke1 Qxc1+ Bxc1 Bxb1 g5 Rxc1+ Kd2 Rxg1 Rxg1 Ne4+ Kc1 Bd3 Bxd3
thebestofthebad,835,carlos-freire,1754,-919,black,resign,2,d4 d5
aynaz22,1371,aqwert,2282,-911,black,mate,90,g3 e5 Bh3 b6 f4 Bb7 f5 Bxh1 e3 Nf6 g4 d5 g5 Ne4 d3 Nxg5 a4 Qf6 Na3 Nxh3 Nxh3 Qxf5 Nf4 exf4 exf4 Qh3 Qe2+ Be7 f5 Nc6 Bg5 f6 Bf4 Nd4 Qe3 Nxf5 Qxh3 g6 Bxc7 Bxa3 bxa3 O-O c3 Rfe8+ Kd1 Ne3+ Kd2 Bg2 Qxe3 Rxe3 Kxe3 Rc8 Bd6 Rxc3 Rg1 Be4 Rg4 Rxd3+ Ke2 Rb3 Be7 Bf3+ Kf1 Bxg4 Bxf6 Rxa3 Be7 Rxa4 Bd8 d4 Bf6 d3 Ke1 Re4+ Kf1 Rf4+ Kg2 Rxf6 h3 d2 hxg4 d1=Q g5 Qf1+ Kg3 Rf2 Kg4 Qg2+ Kh4 Rf4#
cerseisminge,1389,votseff,2297,-908,black,resign,37,c4 c5 Nc3 Nc6 e3 Nf6 Qc2 d5 d3 dxc4 dxc4 Nb4 Qa4+ Bd7 Qb3 Bf5 Qd1 Nc2+ Qxc2 Bxc2 Nge2 Ne4 f3 Nxc3 bxc3 Qd1+ Kf2 Bd3 Nf4 Qc2+ Kg3 Bxf1 Rxf1 Qxc3 Ne2 Qxa1 Bd2
koryakinrus,1715,lance5500,2621,-906,black,resign,104,e4 c5 Nf3 d6 d4 Nf6 e5 dxe5 Nxe5 Qxd4 Qxd4 cxd4 Bb5+ Nbd7 Bxd7+ Nxd7 Nf3 e5 b3 Bb4+ Nbd2 f6 O-O Nb6 a3 Be7 Ne4 Bf5 Re1 Rc8 Ra2 Kf7 b4 Rc7 Re2 Rhc8 Ne1 Nd5 Bd2 Be6 Ra1 h6 f3 f5 Ng3 Ne3 Bxe3 dxe3 h3 f4 Ne4 Bc4 Nd3 Bxd3 cxd3 Rc1+ Rxc1 Rxc1+ Kh2 g5 g3 h5 g4 hxg4 hxg4 Rd1 Ra2 Rxd3 Kg2 Ke6 Kf1 b6 Ke2 Rd8 Rc2 Kd7 Kd3 Ke6+ Ke2 a5 bxa5 bxa5 a4 Rd4 Ra2 Kd5 Rc2 Rxe4 fxe4+ Kxe4 Rc4+ Kd5 Rc7 Bc5 Rd7+ Ke4 Rd8 f3+ Ke1 Bb4+ Kd1 e2+ Kc2 e1=Q
koryakinrus,1715,lance5500,2621,-906,black,resign,17,e4 c5 Nf3 d6 d4 Nf6 e5 dxe5 dxe5 Qxd1+ Kxd1 Ng4 Bc4 Nxf2+ Ke2 Nxh1 Be3
aynaz22,1371,aqwert,2267,-896,black,mate,58,f3 e5 g4 d5 Bh3 e4 g5 Bxh3 Nxh3 exf3 exf3 Qe7+ Qe2 Nc6 b3 Nd4 Qe3 Nxc2+ Ke2 Nxe3 dxe3 Qe5 f4 Qxa1 Nd2 Qxa2 f5 O-O-O Rf1 d4 exd4 Rxd4 g6 hxg6 Ng5 Rxh2+ Rf2 Qa6+ Nc4 Rxf2+ Kxf2 gxf5 Nxf7 Qa2+ Bd2 Qxb3 Nfd6+ cxd6 Nxd6+ Bxd6 Be3 Bg3+ Kxg3 Qxe3+ Kg2 Rd2+ Kf1 Qf2#
hadzo,1236,brahim333,2131,-895,black,resign,77,e4 c6 d4 d5 e5 e6 Nf3 Ne7 g4 Ng6 h4 c5 a3 Qb6 c3 Nc6 Be3 Na5 b4 cxb4 axb4 Nc4 Qd3 Nxe3 fxe3 Be7 h5 Nf8 e4 Nd7 exd5 exd5 Bg2 f6 Rf1 O-O g5 fxg5 Nbd2 g4 Ng5 Bxg5 Rxf8+ Nxf8 Bxd5+ Ne6 Qf5 Bh4+ Kf1 Qb5+ c4 Qxb4 Ne4 Qf8 Bxe6+ Bxe6 Nf6+ gxf6 Qxe6+ Kh8 Qxg4 fxe5+ Ke2 Be7 Rf1 Qh6 Rg1 exd4 Qxd4+ Bf6 Qe4 Qxh5+ Kf1 Qh3+ Rg2 Rf8 Qf5
